Episode,Reward,Mean_Reward
701,24.0,18.14
702,9.0,18.12
703,21.0,18.38
704,25.0,18.66
705,10.0,18.68
706,12.0,18.46
707,14.0,18.48
708,9.0,18.1
709,8.0,18.08
710,8.0,18.0
711,9.0,17.76
712,10.0,17.44
713,22.0,17.68
714,11.0,17.66
715,22.0,17.9
716,10.0,17.68
717,24.0,17.94
718,10.0,17.74
719,18.0,17.92
720,21.0,17.92
721,19.0,17.9
722,21.0,18.04
723,9.0,17.74
724,23.0,17.96
725,27.0,18.32
726,18.0,17.78
727,20.0,17.96
728,30.0,18.1
729,10.0,17.76
730,9.0,17.54
731,10.0,17.56
732,26.0,17.74
733,23.0,17.98
734,12.0,18.02
735,11.0,18.0
736,35.0,18.2
737,21.0,18.16
738,20.0,18.34
739,10.0,18.22
740,20.0,17.78
741,11.0,17.1
742,11.0,17.04
743,10.0,17.08
744,8.0,16.62
745,9.0,16.1
746,22.0,16.1
747,16.0,16.22
748,9.0,16.16
749,12.0,16.04
750,10.0,15.78
751,13.0,15.56
752,18.0,15.74
753,9.0,15.5
754,16.0,15.32
755,12.0,15.36
756,12.0,15.36
757,11.0,15.3
758,10.0,15.32
759,10.0,15.36
760,9.0,15.38
761,10.0,15.4
762,21.0,15.62
763,9.0,15.36
764,9.0,15.32
765,10.0,15.08
766,11.0,15.1
767,22.0,15.06
768,10.0,15.06
769,9.0,14.88
770,30.0,15.06
771,10.0,14.88
772,10.0,14.66
773,11.0,14.7
774,23.0,14.7
775,9.0,14.34
776,12.0,14.22
777,30.0,14.42
778,15.0,14.12
779,10.0,14.12
780,8.0,14.1
781,10.0,14.1
782,28.0,14.14
783,8.0,13.84
784,11.0,13.82
785,9.0,13.78
786,21.0,13.5
787,22.0,13.52
788,9.0,13.3
789,10.0,13.3
790,10.0,13.1
791,12.0,13.12
792,10.0,13.1
793,10.0,13.1
794,17.0,13.28
795,25.0,13.6
796,10.0,13.36
797,10.0,13.24
798,21.0,13.48
799,10.0,13.44
800,9.0,13.42
801,10.0,13.36
802,10.0,13.2
803,20.0,13.42
804,22.0,13.54
805,9.0,13.48
806,10.0,13.44
807,11.0,13.44
808,10.0,13.44
809,11.0,13.46
810,10.0,13.48
811,9.0,13.46
812,8.0,13.2
813,21.0,13.44
814,13.0,13.52
815,10.0,13.52
816,9.0,13.48
817,10.0,13.24
818,11.0,13.26
819,8.0,13.24
820,12.0,12.88
821,35.0,13.38
822,9.0,13.36
823,17.0,13.48
824,9.0,13.2
825,25.0,13.52
826,10.0,13.48
827,26.0,13.4
828,15.0,13.4
829,24.0,13.68
830,14.0,13.8
831,21.0,14.02
832,8.0,13.62
833,10.0,13.66
834,22.0,13.88
835,25.0,14.2
836,10.0,13.98
837,9.0,13.72
838,10.0,13.74
839,28.0,14.1
840,10.0,14.1
841,9.0,14.04
842,12.0,14.08
843,11.0,14.1
844,10.0,13.96
845,9.0,13.64
846,8.0,13.6
847,10.0,13.6
848,25.0,13.68
849,8.0,13.64
850,23.0,13.92
851,26.0,14.24
852,30.0,14.64
853,9.0,14.42
854,9.0,14.16
855,9.0,14.16
856,9.0,14.14
857,10.0,14.12
858,8.0,14.08
859,12.0,14.1
860,17.0,14.24
861,9.0,14.24
862,24.0,14.56
863,13.0,14.4
864,25.0,14.64
865,10.0,14.64
866,9.0,14.64
867,22.0,14.88
868,20.0,15.06
869,10.0,15.1
870,12.0,15.1
871,8.0,14.56
872,9.0,14.56
873,10.0,14.42
874,10.0,14.44
875,10.0,14.14
876,9.0,14.12
877,10.0,13.8
878,10.0,13.7
879,27.0,13.76
880,10.0,13.68
881,22.0,13.7
882,9.0,13.72
883,8.0,13.68
884,10.0,13.44
885,19.0,13.32
886,10.0,13.32
887,9.0,13.32
888,23.0,13.58
889,9.0,13.2
890,10.0,13.2
891,25.0,13.52
892,9.0,13.46
893,9.0,13.42
894,11.0,13.44
895,25.0,13.76
896,9.0,13.78
897,10.0,13.78
898,19.0,13.66
899,10.0,13.7
900,10.0,13.44
901,9.0,13.1
902,11.0,12.72
903,10.0,12.74
904,10.0,12.76
905,11.0,12.8
906,10.0,12.82
907,10.0,12.82
908,10.0,12.86
909,10.0,12.82
910,11.0,12.7
911,9.0,12.7
912,23.0,12.68
913,11.0,12.64
914,10.0,12.34
915,9.0,12.32
916,20.0,12.54
917,9.0,12.28
918,9.0,12.06
919,11.0,12.08
920,20.0,12.24
921,9.0,12.26
922,33.0,12.74
923,10.0,12.74
924,9.0,12.72
925,25.0,13.02
926,12.0,13.08
927,10.0,13.08
928,8.0,13.04
929,9.0,12.68
930,20.0,12.88
931,11.0,12.66
932,8.0,12.64
933,24.0,12.96
934,9.0,12.94
935,10.0,12.76
936,9.0,12.74
937,9.0,12.74
938,9.0,12.46
939,12.0,12.52
940,27.0,12.86
941,9.0,12.54
942,8.0,12.52
943,31.0,12.96
944,20.0,13.14
945,9.0,12.82
946,9.0,12.82
947,9.0,12.8
948,34.0,13.1
949,11.0,13.12
950,10.0,13.12
951,9.0,13.12
952,18.0,13.26
953,10.0,13.26
954,12.0,13.3
955,22.0,13.52
956,9.0,13.5
957,11.0,13.52
958,9.0,13.5
959,9.0,13.48
960,19.0,13.64
961,21.0,13.88
962,9.0,13.6
963,8.0,13.54
964,10.0,13.54
965,25.0,13.86
966,10.0,13.66
967,11.0,13.7
968,10.0,13.72
969,8.0,13.66
970,10.0,13.46
971,10.0,13.48
972,24.0,13.3
973,10.0,13.3
974,21.0,13.54
975,10.0,13.24
976,11.0,13.22
977,18.0,13.38
978,9.0,13.4
979,9.0,13.4
980,21.0,13.42
981,17.0,13.54
982,8.0,13.54
983,10.0,13.26
984,9.0,13.26
985,12.0,13.3
986,10.0,13.32
987,9.0,13.32
988,11.0,13.36
989,9.0,13.3
990,10.0,12.96
991,10.0,12.98
992,8.0,12.98
993,11.0,12.58
994,10.0,12.38
995,10.0,12.4
996,23.0,12.68
997,9.0,12.68
998,11.0,12.22
999,21.0,12.42
1000,10.0,12.42
