Episode,Reward,Mean_Reward
613,11.0,23.74
614,74.0,24.06
615,9.0,23.44
616,42.0,24.1
617,50.0,24.86
618,11.0,23.88
619,28.0,24.26
620,13.0,23.9
621,43.0,24.48
622,14.0,24.52
623,23.0,24.72
624,10.0,24.72
625,9.0,24.34
626,29.0,24.42
627,8.0,24.36
628,9.0,24.28
629,12.0,23.14
630,41.0,23.62
631,14.0,22.2
632,21.0,22.0
633,20.0,21.96
634,14.0,21.78
635,65.0,22.5
636,63.0,23.58
637,13.0,23.68
638,10.0,23.64
639,26.0,23.64
640,9.0,22.9
641,11.0,22.7
642,28.0,22.4
643,32.0,22.44
644,27.0,22.76
645,10.0,22.7
646,8.0,22.44
647,25.0,22.74
648,39.0,23.18
649,14.0,23.24
650,9.0,22.9
651,62.0,23.72
652,34.0,24.24
653,12.0,24.3
654,10.0,23.4
655,9.0,23.4
656,13.0,23.42
657,8.0,22.38
658,27.0,22.74
659,9.0,22.7
660,11.0,22.68
661,26.0,22.46
662,18.0,22.66
663,11.0,22.66
664,9.0,21.36
665,12.0,21.42
666,17.0,20.92
667,55.0,21.02
668,10.0,21.0
669,47.0,21.38
670,62.0,22.36
671,11.0,21.72
672,10.0,21.64
673,26.0,21.7
674,26.0,22.02
675,16.0,22.16
676,44.0,22.46
677,30.0,22.9
678,12.0,22.96
679,46.0,23.64
680,25.0,23.32
681,14.0,23.32
682,10.0,23.1
683,11.0,22.92
684,10.0,22.84
685,26.0,22.06
686,54.0,21.88
687,18.0,21.98
688,25.0,22.28
689,9.0,21.94
690,38.0,22.52
691,19.0,22.68
692,29.0,22.7
693,9.0,22.24
694,16.0,22.02
695,15.0,22.12
696,8.0,22.12
697,42.0,22.46
698,18.0,22.04
699,76.0,23.28
700,23.0,23.56
701,29.0,22.9
702,25.0,22.72
703,36.0,23.2
704,22.0,23.44
705,10.0,23.46
706,10.0,23.4
707,11.0,23.46
708,39.0,23.7
709,29.0,24.1
710,22.0,24.32
711,11.0,24.02
712,8.0,23.82
713,84.0,25.28
714,25.0,25.6
715,10.0,25.56
716,46.0,26.14
717,25.0,25.54
718,43.0,26.2
719,77.0,26.8
720,37.0,26.3
721,55.0,27.18
722,11.0,27.2
723,11.0,26.9
724,56.0,27.5
725,45.0,28.08
726,27.0,27.74
727,102.0,29.18
728,39.0,29.72
729,11.0,29.02
730,14.0,28.8
731,12.0,28.76
732,49.0,29.54
733,10.0,29.52
734,24.0,29.8
735,14.0,29.56
736,30.0,29.08
737,14.0,29.0
738,52.0,29.54
739,40.0,30.16
740,10.0,29.6
741,11.0,29.44
742,49.0,29.84
743,24.0,30.14
744,12.0,30.06
745,20.0,30.16
746,10.0,30.2
747,27.0,29.9
748,62.0,30.78
749,11.0,29.48
750,11.0,29.24
751,13.0,28.92
752,12.0,28.66
753,37.0,28.68
754,22.0,28.68
755,42.0,29.32
756,10.0,29.32
757,39.0,29.88
758,12.0,29.34
759,25.0,29.26
760,29.0,29.4
761,34.0,29.86
762,20.0,30.1
763,28.0,28.98
764,24.0,28.96
765,23.0,29.22
766,10.0,28.5
767,26.0,28.52
768,20.0,28.06
769,23.0,26.98
770,10.0,26.44
771,11.0,25.56
772,49.0,26.32
773,34.0,26.78
774,43.0,26.52
775,32.0,26.26
776,65.0,27.02
777,42.0,25.82
778,10.0,25.24
779,26.0,25.54
780,45.0,26.16
781,18.0,26.28
782,68.0,26.66
783,11.0,26.68
784,87.0,27.94
785,36.0,28.38
786,72.0,29.22
787,81.0,30.56
788,59.0,30.7
789,12.0,30.14
790,45.0,30.84
791,12.0,30.86
792,36.0,30.6
793,23.0,30.58
794,28.0,30.9
795,47.0,31.44
796,29.0,31.82
797,41.0,32.1
798,23.0,31.32
799,88.0,32.86
800,11.0,32.86
801,46.0,33.52
802,10.0,33.48
803,11.0,32.96
804,20.0,32.92
805,40.0,32.88
806,14.0,32.96
807,13.0,32.44
808,13.0,32.46
809,28.0,32.52
810,21.0,32.36
811,36.0,32.4
812,22.0,32.44
813,75.0,33.38
814,41.0,33.72
815,52.0,34.3
816,17.0,34.44
817,9.0,34.1
818,42.0,34.54
819,10.0,34.28
820,41.0,34.9
821,10.0,34.88
822,42.0,34.74
823,36.0,34.78
824,15.0,34.22
825,182.0,37.22
826,11.0,36.14
827,26.0,35.82
828,19.0,36.0
829,53.0,36.54
830,37.0,36.38
831,39.0,36.8
832,67.0,36.78
833,10.0,36.76
834,40.0,35.82
835,48.0,36.06
836,24.0,35.1
837,13.0,33.74
838,15.0,32.86
839,21.0,33.04
840,36.0,32.86
841,13.0,32.88
842,27.0,32.7
843,11.0,32.46
844,53.0,32.96
845,14.0,32.3
846,11.0,31.94
847,26.0,31.64
848,22.0,31.62
849,48.0,30.82
850,24.0,31.08
851,11.0,30.38
852,11.0,30.4
853,12.0,30.42
854,11.0,30.24
855,48.0,30.4
856,46.0,31.04
857,10.0,30.98
858,11.0,30.94
859,12.0,30.62
860,61.0,31.42
861,12.0,30.94
862,30.0,31.1
863,9.0,29.78
864,9.0,29.14
865,18.0,28.46
866,9.0,28.3
867,23.0,28.58
868,13.0,28.0
869,28.0,28.36
870,55.0,28.64
871,10.0,28.64
872,23.0,28.26
873,21.0,27.96
